d3mIndex,Company,Year,Date,Close
0,abbv,2013,01-04,28.81
1,abbv,2013,01-07,28.869
2,abbv,2013,01-08,28.242
3,abbv,2013,01-09,28.399
4,abbv,2013,01-10,28.481
5,abbv,2013,01-11,28.695
6,abbv,2013,01-14,28.899
7,abbv,2013,01-15,29.332
8,abbv,2013,01-16,30.127
9,abbv,2013,01-17,30.875
10,abbv,2013,01-18,31.637
11,abbv,2013,01-22,30.875
12,abbv,2013,01-23,32.044000000000004
13,abbv,2013,01-24,31.756
14,abbv,2013,01-25,31.874
15,abbv,2013,01-28,31.272
16,abbv,2013,01-29,31.63
17,abbv,2013,01-30,31.31
18,abbv,2013,01-31,31.103
19,abbv,2013,02-01,31.519
20,abbv,2013,02-04,31.604
21,abbv,2013,02-05,31.535
22,abbv,2013,02-06,31.484
23,abbv,2013,02-07,30.875
24,abbv,2013,02-08,30.73
25,abbv,2013,02-11,30.391
26,abbv,2013,02-12,30.026
27,abbv,2013,02-13,29.897
28,abbv,2013,02-14,31.002
29,abbv,2013,02-15,31.857
30,abbv,2013,02-19,32.375
31,abbv,2013,02-20,32.731
32,abbv,2013,02-21,32.876
33,abbv,2013,02-22,32.603
34,abbv,2013,02-25,31.68
35,abbv,2013,02-26,31.441
36,abbv,2013,02-27,31.136
37,abbv,2013,02-28,31.3
38,abbv,2013,03-01,32.053000000000004
39,abbv,2013,03-04,32.417
40,abbv,2013,03-05,31.799
41,abbv,2013,03-06,31.994
42,abbv,2013,03-07,31.78
43,abbv,2013,03-08,31.652
44,abbv,2013,03-11,31.933000000000003
45,abbv,2013,03-12,31.51
46,abbv,2013,03-13,31.51
47,abbv,2013,03-14,31.84
48,abbv,2013,03-15,32.638000000000005
49,abbv,2013,03-18,32.348
50,abbv,2013,03-19,32.518
51,abbv,2013,03-20,33.111
52,abbv,2013,03-21,32.628
53,abbv,2013,03-22,33.035
54,abbv,2013,03-25,33.331
55,abbv,2013,03-26,34.085
56,abbv,2013,03-27,34.038000000000004
57,abbv,2013,03-28,34.571
58,abbv,2013,04-01,34.86
59,abbv,2013,04-02,34.511
60,abbv,2013,04-03,34.392
61,abbv,2013,04-04,35.265
62,abbv,2013,04-05,35.018
63,abbv,2013,04-08,35.409
64,abbv,2013,04-09,36.071
65,abbv,2013,04-10,36.976
66,abbv,2013,04-11,36.959
67,abbv,2013,04-12,36.866
68,abbv,2013,04-15,35.455
69,abbv,2013,04-16,36.31800000000001
70,abbv,2013,04-17,36.142
71,abbv,2013,04-18,36.207
72,abbv,2013,04-19,36.268
73,abbv,2013,04-22,37.817
74,abbv,2013,04-23,38.62
75,abbv,2013,04-24,37.919
76,abbv,2013,04-25,37.847
77,abbv,2013,04-26,39.219
78,abbv,2013,04-29,38.698
79,abbv,2013,04-30,39.398
80,abbv,2013,05-01,38.972
81,abbv,2013,05-02,37.635
82,abbv,2013,05-03,38.226
83,abbv,2013,05-06,38.15
84,abbv,2013,05-07,38.423
85,abbv,2013,05-08,37.208
86,abbv,2013,05-09,37.847
87,abbv,2013,05-10,38.507
88,abbv,2013,05-13,38.107
89,abbv,2013,05-14,38.8
90,abbv,2013,05-15,39.38
91,abbv,2013,05-16,39.535
92,abbv,2013,05-17,40.356
93,abbv,2013,05-20,39.58
94,abbv,2013,05-21,39.81800000000001
95,abbv,2013,05-22,40.008
96,abbv,2013,05-23,39.86
97,abbv,2013,05-24,38.877
98,abbv,2013,05-28,38.833
99,abbv,2013,05-29,37.542
100,abbv,2013,05-30,38.116
101,abbv,2013,05-31,36.523
102,abbv,2013,06-03,37.096
103,abbv,2013,06-04,37.329
104,abbv,2013,06-05,36.825
105,abbv,2013,06-06,37.217
106,abbv,2013,06-07,37.642
107,abbv,2013,06-10,37.577
108,abbv,2013,06-11,37.294
109,abbv,2013,06-12,36.592
110,abbv,2013,06-13,36.917
111,abbv,2013,06-14,36.969
112,abbv,2013,06-17,36.796
113,abbv,2013,06-18,37.25
114,abbv,2013,06-19,36.825
115,abbv,2013,06-20,35.129
116,abbv,2013,06-21,36.465
117,abbv,2013,06-24,35.841
118,abbv,2013,06-25,36.473
119,abbv,2013,06-26,37.114
120,abbv,2013,06-27,36.899
121,abbv,2013,06-28,35.369
122,abbv,2013,07-01,35.601
123,abbv,2013,07-02,36.112
124,abbv,2013,07-03,36.132
125,abbv,2013,07-05,36.549
126,abbv,2013,07-08,37.371
127,abbv,2013,07-09,37.064
128,abbv,2013,07-10,37.569
129,abbv,2013,07-11,37.801
130,abbv,2013,07-12,38.898
131,abbv,2013,07-15,38.525
132,abbv,2013,07-16,37.828
133,abbv,2013,07-17,37.954
134,abbv,2013,07-18,38.268
135,abbv,2013,07-19,38.44
136,abbv,2013,07-22,38.829
137,abbv,2013,07-23,38.26
138,abbv,2013,07-24,37.68
139,abbv,2013,07-25,38.199
140,abbv,2013,07-26,38.672
141,abbv,2013,07-29,38.907
142,abbv,2013,07-30,38.597
143,abbv,2013,07-31,39.269
144,abbv,2013,08-01,39.069
145,abbv,2013,08-02,39.13
146,abbv,2013,08-05,38.605
147,abbv,2013,08-06,38.752
148,abbv,2013,08-07,38.485
149,abbv,2013,08-08,38.907
150,abbv,2013,08-09,38.605
151,abbv,2013,08-12,38.889
152,abbv,2013,08-13,38.794
153,abbv,2013,08-14,38.493
154,abbv,2013,08-15,37.309
155,abbv,2013,08-16,37.129
156,abbv,2013,08-19,37.446
157,abbv,2013,08-20,37.101
158,abbv,2013,08-21,36.532
159,abbv,2013,08-22,37.059
160,abbv,2013,08-23,37.499
161,abbv,2013,08-26,37.515
162,abbv,2013,08-27,36.807
163,abbv,2013,08-28,36.75
164,abbv,2013,08-29,36.798
165,abbv,2013,08-30,36.788
166,abbv,2013,09-03,36.773
167,abbv,2013,09-04,37.244
168,abbv,2013,09-05,37.567
169,abbv,2013,09-06,37.896
170,abbv,2013,09-09,38.362
171,abbv,2013,09-10,38.664
172,abbv,2013,09-11,38.811
173,abbv,2013,09-12,38.597
174,abbv,2013,09-13,38.759
175,abbv,2013,09-16,39.562
176,abbv,2013,09-17,41.099
177,abbv,2013,09-18,41.374
178,abbv,2013,09-19,40.926
179,abbv,2013,09-20,41.303
180,abbv,2013,09-23,40.668
181,abbv,2013,09-24,39.702
182,abbv,2013,09-25,39.139
183,abbv,2013,09-26,38.855
184,abbv,2013,09-27,38.274
185,abbv,2013,09-30,38.621
186,abbv,2013,10-01,39.545
187,abbv,2013,10-02,39.675
188,abbv,2013,10-03,39.725
189,abbv,2013,10-04,40.408
190,abbv,2013,10-07,39.798
191,abbv,2013,10-08,38.437
192,abbv,2013,10-09,38.69
193,abbv,2013,10-10,39.798
194,abbv,2013,10-11,39.77
195,abbv,2013,10-14,40.363
196,abbv,2013,10-15,40.144
197,abbv,2013,10-16,41.0
198,abbv,2013,10-17,41.965
199,abbv,2013,10-18,42.105
200,abbv,2013,10-21,42.12300000000001
201,abbv,2013,10-22,42.688
202,abbv,2013,10-23,42.105
203,abbv,2013,10-24,41.758
204,abbv,2013,10-25,42.951
205,abbv,2013,10-28,43.055
206,abbv,2013,10-29,43.377
207,abbv,2013,10-30,42.51600000000001
208,abbv,2013,10-31,42.21100000000001
211,abbv,2014,01-02,45.285
212,abbv,2014,01-03,45.56399999999999
213,abbv,2014,01-06,43.9
214,abbv,2014,01-07,43.988
215,abbv,2014,01-08,43.874
216,abbv,2014,01-09,44.624
217,abbv,2014,01-10,44.344
218,abbv,2014,01-13,43.755
219,abbv,2014,01-14,44.432
220,abbv,2014,01-15,44.002
221,abbv,2014,01-16,44.344
222,abbv,2014,01-17,43.957
223,abbv,2014,01-21,43.905
224,abbv,2014,01-22,43.098
225,abbv,2014,01-23,42.914
226,abbv,2014,01-24,41.965
227,abbv,2014,01-27,41.121
228,abbv,2014,01-28,41.87600000000001
229,abbv,2014,01-29,41.806
230,abbv,2014,01-30,42.422
231,abbv,2014,01-31,43.228
232,abbv,2014,02-03,41.581
233,abbv,2014,02-04,42.105
234,abbv,2014,02-05,41.913
235,abbv,2014,02-06,42.088
236,abbv,2014,02-07,42.931
237,abbv,2014,02-10,43.50899999999999
238,abbv,2014,02-11,43.607
239,abbv,2014,02-12,44.397
240,abbv,2014,02-13,44.213
241,abbv,2014,02-14,44.54600000000001
242,abbv,2014,02-18,45.188
243,abbv,2014,02-19,44.95
244,abbv,2014,02-20,45.54
245,abbv,2014,02-21,44.81800000000001
246,abbv,2014,02-24,44.652
247,abbv,2014,02-25,44.538
248,abbv,2014,02-26,44.555
249,abbv,2014,02-27,44.70399999999999
250,abbv,2014,02-28,44.70399999999999
251,abbv,2014,03-03,43.985
252,abbv,2014,03-04,45.302
253,abbv,2014,03-05,45.397
254,abbv,2014,03-06,45.69600000000001
255,abbv,2014,03-07,45.188
256,abbv,2014,03-10,45.361
257,abbv,2014,03-11,45.444
258,abbv,2014,03-12,45.347
259,abbv,2014,03-13,45.06399999999999
260,abbv,2014,03-14,44.966
261,abbv,2014,03-17,45.644
262,abbv,2014,03-18,46.628
263,abbv,2014,03-19,46.63800000000001
264,abbv,2014,03-20,47.137
265,abbv,2014,03-21,46.944
266,abbv,2014,03-24,45.099
267,abbv,2014,03-25,45.38800000000001
268,abbv,2014,03-26,45.223
269,abbv,2014,03-27,45.361
270,abbv,2014,03-28,44.767
271,abbv,2014,03-31,45.135
272,abbv,2014,04-01,45.75
273,abbv,2014,04-02,46.838
274,abbv,2014,04-03,46.979
275,abbv,2014,04-04,45.837
276,abbv,2014,04-07,44.45
277,abbv,2014,04-08,43.11600000000001
278,abbv,2014,04-09,44.46
279,abbv,2014,04-10,41.581
280,abbv,2014,04-11,41.162
281,abbv,2014,04-14,41.489
282,abbv,2014,04-15,42.403
283,abbv,2014,04-16,42.63399999999999
284,abbv,2014,04-17,43.01600000000001
285,abbv,2014,04-21,43.793
286,abbv,2014,04-22,44.308
287,abbv,2014,04-23,44.424
288,abbv,2014,04-24,43.69600000000001
289,abbv,2014,04-25,43.536
290,abbv,2014,04-28,45.069
291,abbv,2014,04-29,45.512
292,abbv,2014,04-30,46.14100000000001
293,abbv,2014,05-01,45.724
294,abbv,2014,05-02,45.345
295,abbv,2014,05-05,45.504
296,abbv,2014,05-06,45.105
297,abbv,2014,05-07,46.771
298,abbv,2014,05-08,46.20399999999999
299,abbv,2014,05-09,46.303
300,abbv,2014,05-12,46.4
301,abbv,2014,05-13,46.247
302,abbv,2014,05-14,46.841
303,abbv,2014,05-15,46.681
304,abbv,2014,05-16,46.894
305,abbv,2014,05-19,47.941
306,abbv,2014,05-20,47.43600000000001
307,abbv,2014,05-21,47.19600000000001
308,abbv,2014,05-22,47.515
309,abbv,2014,05-23,47.798
310,abbv,2014,05-27,47.834
311,abbv,2014,05-28,47.904
312,abbv,2014,05-29,47.867
313,abbv,2014,05-30,48.13399999999999
314,abbv,2014,06-02,47.974
315,abbv,2014,06-03,48.17100000000001
316,abbv,2014,06-04,48.356
317,abbv,2014,06-05,48.995
318,abbv,2014,06-06,48.817
319,abbv,2014,06-09,47.699
320,abbv,2014,06-10,47.815
321,abbv,2014,06-11,48.047
322,abbv,2014,06-12,47.541
323,abbv,2014,06-13,47.981
324,abbv,2014,06-16,47.843
325,abbv,2014,06-17,48.107
326,abbv,2014,06-18,48.346
327,abbv,2014,06-19,48.01
328,abbv,2014,06-20,47.223
329,abbv,2014,06-23,47.621
330,abbv,2014,06-24,47.479
331,abbv,2014,06-25,48.728
332,abbv,2014,06-26,50.067
333,abbv,2014,06-27,50.313
334,abbv,2014,06-30,50.003
335,abbv,2014,07-01,50.402
336,abbv,2014,07-02,51.484
337,abbv,2014,07-03,51.582
338,abbv,2014,07-07,50.854
339,abbv,2014,07-08,49.339
340,abbv,2014,07-09,48.737
341,abbv,2014,07-10,49.427
342,abbv,2014,07-11,49.063
343,abbv,2014,07-14,48.963
344,abbv,2014,07-15,47.70399999999999
345,abbv,2014,07-16,47.892
346,abbv,2014,07-17,47.776
347,abbv,2014,07-18,49.018
348,abbv,2014,07-21,48.205
349,abbv,2014,07-22,48.249
350,abbv,2014,07-23,48.633
351,abbv,2014,07-24,48.277
352,abbv,2014,07-25,47.472
353,abbv,2014,07-28,47.972
354,abbv,2014,07-29,47.694
355,abbv,2014,07-30,47.979
356,abbv,2014,07-31,46.722
357,abbv,2014,08-01,46.848
358,abbv,2014,08-04,47.569
359,abbv,2014,08-05,47.125
360,abbv,2014,08-06,46.463
361,abbv,2014,08-07,46.802
362,abbv,2014,08-08,47.151
363,abbv,2014,08-11,47.588
364,abbv,2014,08-12,47.17
365,abbv,2014,08-13,47.85
366,abbv,2014,08-14,48.375
367,abbv,2014,08-15,48.115
368,abbv,2014,08-18,48.482
369,abbv,2014,08-19,49.358
370,abbv,2014,08-20,49.152
371,abbv,2014,08-21,49.063
372,abbv,2014,08-22,49.276
373,abbv,2014,08-25,49.874
374,abbv,2014,08-26,49.768
375,abbv,2014,08-27,49.723
376,abbv,2014,08-28,49.63399999999999
377,abbv,2014,08-29,49.348
378,abbv,2014,09-02,49.162
379,abbv,2014,09-03,49.552
380,abbv,2014,09-04,49.57899999999999
381,abbv,2014,09-05,49.937
382,abbv,2014,09-08,49.607
383,abbv,2014,09-09,50.838
384,abbv,2014,09-10,51.053
385,abbv,2014,09-11,51.642
386,abbv,2014,09-12,51.669
387,abbv,2014,09-15,51.714
388,abbv,2014,09-16,52.312
389,abbv,2014,09-17,53.221
390,abbv,2014,09-18,53.072
391,abbv,2014,09-19,52.721
392,abbv,2014,09-22,52.409
393,abbv,2014,09-23,51.38399999999999
394,abbv,2014,09-24,52.712
395,abbv,2014,09-25,51.778
396,abbv,2014,09-26,52.838
397,abbv,2014,09-29,52.24
398,abbv,2014,09-30,51.56100000000001
399,abbv,2014,10-01,51.089
400,abbv,2014,10-02,50.588
401,abbv,2014,10-03,52.392
402,abbv,2014,10-06,51.607
403,abbv,2014,10-07,50.57100000000001
404,abbv,2014,10-08,52.081
405,abbv,2014,10-09,50.633
406,abbv,2014,10-10,49.437
407,abbv,2014,10-13,48.223
408,abbv,2014,10-14,48.68
409,abbv,2014,10-15,49.13
410,abbv,2014,10-16,47.574
411,abbv,2014,10-17,47.997
412,abbv,2014,10-20,48.933
413,abbv,2014,10-21,50.625
414,abbv,2014,10-22,51.172
415,abbv,2014,10-23,53.528
416,abbv,2014,10-24,54.222
417,abbv,2014,10-27,54.399
418,abbv,2014,10-28,54.798
419,abbv,2014,10-29,53.94300000000001
420,abbv,2014,10-30,55.02
421,abbv,2014,10-31,57.072
424,abbv,2015,01-02,59.258
425,abbv,2015,01-05,58.14
426,abbv,2015,01-06,57.854
427,abbv,2015,01-07,60.194
428,abbv,2015,01-08,60.822
429,abbv,2015,01-09,59.159
430,abbv,2015,01-12,59.14
431,abbv,2015,01-13,57.437
432,abbv,2015,01-14,57.719
433,abbv,2015,01-15,56.984
434,abbv,2015,01-16,58.48
435,abbv,2015,01-20,57.493
436,abbv,2015,01-21,56.813
437,abbv,2015,01-22,57.065
438,abbv,2015,01-23,56.566
439,abbv,2015,01-26,56.931
440,abbv,2015,01-27,57.174
441,abbv,2015,01-28,56.042
442,abbv,2015,01-29,57.19300000000001
443,abbv,2015,01-30,54.684
444,abbv,2015,02-02,55.00100000000001
445,abbv,2015,02-03,55.861
446,abbv,2015,02-04,51.565
447,abbv,2015,02-05,52.543
448,abbv,2015,02-06,51.556
449,abbv,2015,02-09,50.271
450,abbv,2015,02-10,51.54600000000001
451,abbv,2015,02-11,51.367
452,abbv,2015,02-12,51.692
453,abbv,2015,02-13,52.597
454,abbv,2015,02-17,53.206
455,abbv,2015,02-18,53.677
456,abbv,2015,02-19,53.46
457,abbv,2015,02-20,55.544
458,abbv,2015,02-23,54.882
459,abbv,2015,02-24,55.154
460,abbv,2015,02-25,54.927
461,abbv,2015,02-26,54.83600000000001
462,abbv,2015,02-27,54.819
463,abbv,2015,03-02,54.783
464,abbv,2015,03-03,54.022
465,abbv,2015,03-04,54.611
466,abbv,2015,03-05,51.523
467,abbv,2015,03-06,50.414
468,abbv,2015,03-09,50.324
469,abbv,2015,03-10,50.596
470,abbv,2015,03-11,51.303
471,abbv,2015,03-12,52.282
472,abbv,2015,03-13,52.553
473,abbv,2015,03-16,53.569
474,abbv,2015,03-17,54.121
475,abbv,2015,03-18,54.265
476,abbv,2015,03-19,55.445
477,abbv,2015,03-20,54.728
478,abbv,2015,03-23,54.802
479,abbv,2015,03-24,54.03
480,abbv,2015,03-25,52.754
481,abbv,2015,03-26,51.89100000000001
482,abbv,2015,03-27,52.236
483,abbv,2015,03-30,52.772
484,abbv,2015,03-31,53.042
485,abbv,2015,04-01,51.738
486,abbv,2015,04-02,51.65600000000001
487,abbv,2015,04-06,52.201
488,abbv,2015,04-07,52.934
489,abbv,2015,04-08,53.288
490,abbv,2015,04-09,54.65600000000001
491,abbv,2015,04-10,56.177
492,abbv,2015,04-13,55.913
493,abbv,2015,04-14,56.38800000000001
494,abbv,2015,04-15,56.67100000000001
495,abbv,2015,04-16,57.183
496,abbv,2015,04-17,56.909
497,abbv,2015,04-20,58.05
498,abbv,2015,04-21,58.11600000000001
499,abbv,2015,04-22,58.94600000000001
500,abbv,2015,04-23,58.7
501,abbv,2015,04-24,60.363
502,abbv,2015,04-27,59.404
503,abbv,2015,04-28,60.744
504,abbv,2015,04-29,59.96
505,abbv,2015,04-30,59.074
506,abbv,2015,05-01,58.762
507,abbv,2015,05-04,59.093
508,abbv,2015,05-05,58.342
509,abbv,2015,05-06,58.417
510,abbv,2015,05-07,59.111
511,abbv,2015,05-08,59.604
512,abbv,2015,05-11,59.567
513,abbv,2015,05-12,59.21100000000001
514,abbv,2015,05-13,59.658
515,abbv,2015,05-14,60.272
516,abbv,2015,05-15,60.289
517,abbv,2015,05-18,59.941
518,abbv,2015,05-19,60.051
519,abbv,2015,05-20,60.199
520,abbv,2015,05-21,59.979
521,abbv,2015,05-22,59.825
522,abbv,2015,05-26,60.39
523,abbv,2015,05-27,61.56100000000001
524,abbv,2015,05-28,61.642
525,abbv,2015,05-29,60.837
526,abbv,2015,06-01,61.148
527,abbv,2015,06-02,60.864
528,abbv,2015,06-03,61.221
529,abbv,2015,06-04,61.593
530,abbv,2015,06-05,61.578
531,abbv,2015,06-08,61.934
532,abbv,2015,06-09,61.823
533,abbv,2015,06-10,62.345
534,abbv,2015,06-11,62.161
535,abbv,2015,06-12,61.25899999999999
536,abbv,2015,06-15,61.131
537,abbv,2015,06-16,61.0
538,abbv,2015,06-17,61.915
539,abbv,2015,06-18,63.022
540,abbv,2015,06-19,63.476000000000006
541,abbv,2015,06-22,64.062
542,abbv,2015,06-23,63.971
543,abbv,2015,06-24,63.24100000000001
544,abbv,2015,06-25,63.788
545,abbv,2015,06-26,64.373
546,abbv,2015,06-29,61.37600000000001
547,abbv,2015,06-30,61.385
548,abbv,2015,07-01,62.59
549,abbv,2015,07-02,62.31800000000001
550,abbv,2015,07-06,62.327
551,abbv,2015,07-07,62.637
552,abbv,2015,07-08,61.81399999999999
553,abbv,2015,07-09,62.098
554,abbv,2015,07-10,63.25
555,abbv,2015,07-13,64.032
556,abbv,2015,07-14,64.244
557,abbv,2015,07-15,64.196
558,abbv,2015,07-16,64.418
559,abbv,2015,07-17,64.418
560,abbv,2015,07-20,65.163
561,abbv,2015,07-21,64.926
562,abbv,2015,07-22,64.944
563,abbv,2015,07-23,64.906
564,abbv,2015,07-24,62.661
565,abbv,2015,07-27,63.82
566,abbv,2015,07-28,65.559
567,abbv,2015,07-29,65.138
568,abbv,2015,07-30,64.574
569,abbv,2015,07-31,64.437
570,abbv,2015,08-03,64.179
571,abbv,2015,08-04,64.381
572,abbv,2015,08-05,64.704
573,abbv,2015,08-06,63.728
574,abbv,2015,08-07,63.15600000000001
575,abbv,2015,08-10,63.699
576,abbv,2015,08-11,62.817
577,abbv,2015,08-12,63.276
578,abbv,2015,08-13,63.083
579,abbv,2015,08-14,63.184
580,abbv,2015,08-17,63.85
581,abbv,2015,08-18,63.377
582,abbv,2015,08-19,63.131
583,abbv,2015,08-20,62.108
584,abbv,2015,08-21,60.653
585,abbv,2015,08-24,58.4
586,abbv,2015,08-25,55.87600000000001
587,abbv,2015,08-26,58.115
588,abbv,2015,08-27,59.37600000000001
589,abbv,2015,08-28,58.886
590,abbv,2015,08-31,57.441
591,abbv,2015,09-01,55.684
592,abbv,2015,09-02,56.12600000000001
593,abbv,2015,09-03,56.678
594,abbv,2015,09-04,55.01
595,abbv,2015,09-08,55.747
596,abbv,2015,09-09,54.542
597,abbv,2015,09-10,54.83600000000001
598,abbv,2015,09-11,54.625
599,abbv,2015,09-14,54.249
600,abbv,2015,09-15,54.488
601,abbv,2015,09-16,54.773
602,abbv,2015,09-17,55.095
603,abbv,2015,09-18,56.348
604,abbv,2015,09-21,54.662
605,abbv,2015,09-22,53.143
606,abbv,2015,09-23,52.86
607,abbv,2015,09-24,52.067
608,abbv,2015,09-25,51.303
609,abbv,2015,09-28,48.32100000000001
610,abbv,2015,09-29,48.587
611,abbv,2015,09-30,50.07899999999999
612,abbv,2015,10-01,50.742
613,abbv,2015,10-02,51.377
614,abbv,2015,10-05,52.168
615,abbv,2015,10-06,50.695
616,abbv,2015,10-07,51.202
617,abbv,2015,10-08,51.57899999999999
618,abbv,2015,10-09,51.21100000000001
619,abbv,2015,10-12,51.331
620,abbv,2015,10-13,49.974
621,abbv,2015,10-14,50.103
622,abbv,2015,10-15,52.147
623,abbv,2015,10-16,52.51
624,abbv,2015,10-19,52.166
625,abbv,2015,10-20,50.931
626,abbv,2015,10-21,50.00100000000001
627,abbv,2015,10-22,44.837
628,abbv,2015,10-23,46.761
629,abbv,2015,10-26,48.182
630,abbv,2015,10-27,48.84
631,abbv,2015,10-28,49.472
632,abbv,2015,10-29,50.253
633,abbv,2015,10-30,55.31399999999999
636,abbv,2016,01-04,53.514
637,abbv,2016,01-05,53.291
638,abbv,2016,01-06,53.301
639,abbv,2016,01-07,53.14100000000001
640,abbv,2016,01-08,51.692
641,abbv,2016,01-11,50.049
642,abbv,2016,01-12,50.94
643,abbv,2016,01-13,48.04
